"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2011","18,436.19","18,514.65","18,566.99","18,415.36","8.03K","-0.36%"
"Jul 20, 2011","18,502.38","18,756.31","18,765.60","18,473.90","9.82K","-0.81%"
"Jul 19, 2011","18,653.87","18,521.38","18,690.42","18,481.83","8.38K","0.79%"
"Jul 18, 2011","18,507.04","18,592.19","18,622.56","18,469.53","9.03K","-0.30%"
"Jul 15, 2011","18,561.92","18,694.19","18,936.43","18,513.22","6.83K","-0.30%"
"Jul 14, 2011","18,618.20","18,563.69","18,803.05","18,449.23","11.74K","0.12%"
"Jul 13, 2011","18,596.02","18,468.82","18,626.41","18,465.40","9.71K","1.00%"
"Jul 12, 2011","18,411.62","18,534.11","18,589.19","18,326.42","10.59K","-1.65%"
"Jul 11, 2011","18,721.39","18,823.19","18,843.97","18,679.49","9.11K","-0.72%"
"Jul 08, 2011","18,858.04","19,084.06","19,131.70","18,817.71","12.23K","-1.15%"
"Jul 07, 2011","19,078.30","18,776.62","19,097.78","18,767.25","11.44K","1.88%"
"Jul 06, 2011","18,726.97","18,730.29","18,823.45","18,682.60","8.43K","-0.09%"
"Jul 05, 2011","18,744.56","18,837.88","18,837.88","18,694.05","12.21K","-0.37%"
"Jul 04, 2011","18,814.48","18,896.24","18,942.42","18,781.88","12.24K","0.28%"
"Jul 01, 2011","18,762.80","18,974.96","19,031.38","18,713.07","14.00K","-0.44%"
"Jun 30, 2011","18,845.87","18,741.10","18,873.39","18,723.14","11.43K","0.81%"
"Jun 29, 2011","18,693.86","18,552.19","18,715.39","18,552.19","13.72K","1.09%"
"Jun 28, 2011","18,492.45","18,493.59","18,527.45","18,323.44","11.37K","0.43%"
"Jun 27, 2011","18,412.41","18,132.70","18,494.11","18,132.70","13.44K","0.94%"
"Jun 24, 2011","18,240.68","17,804.94","18,268.95","17,804.94","14.71K","2.89%"
"Jun 23, 2011","17,727.49","17,526.92","17,754.55","17,482.21","11.31K","1.01%"
"Jun 22, 2011","17,550.63","17,659.37","17,678.86","17,492.19","9.65K","-0.06%"
"Jun 21, 2011","17,560.30","17,574.37","17,714.88","17,504.27","11.44K","0.31%"
"Jun 20, 2011","17,506.63","17,925.17","17,925.17","17,314.38","12.88K","-2.04%"
"Jun 17, 2011","17,870.53","18,060.17","18,064.76","17,844.09","10.87K","-0.64%"
"Jun 16, 2011","17,985.88","18,060.11","18,155.10","17,958.94","10.60K","-0.81%"
"Jun 15, 2011","18,132.24","18,298.59","18,308.69","18,111.21","9.69K","-0.96%"
"Jun 14, 2011","18,308.66","18,276.78","18,380.19","18,261.11","26.75K","0.23%"
"Jun 13, 2011","18,266.03","18,242.25","18,313.21","18,120.76","10.35K","-0.01%"
"Jun 10, 2011","18,268.54","18,390.41","18,399.02","18,182.90","9.59K","-0.63%"
"Jun 09, 2011","18,384.90","18,394.57","18,449.64","18,327.01","10.00K","-0.05%"
