"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 01, 2011","5,592.00","5,561.05","5,597.35","5,559.45","98.63M","0.57%"
"May 31, 2011","5,560.15","5,492.00","5,571.60","5,489.70","149.41M","1.59%"
"May 30, 2011","5,473.10","5,493.75","5,509.30","5,458.60","100.77M","-0.05%"
"May 27, 2011","5,476.10","5,413.70","5,485.80","5,413.60","117.23M","1.18%"
"May 26, 2011","5,412.35","5,372.75","5,422.20","5,356.35","161.61M","1.19%"
"May 25, 2011","5,348.95","5,389.10","5,389.10","5,328.70","99.92M","-0.85%"
"May 24, 2011","5,394.85","5,385.10","5,422.60","5,367.45","100.05M","0.15%"
"May 23, 2011","5,386.55","5,456.70","5,456.70","5,373.00","94.67M","-1.82%"
"May 20, 2011","5,486.35","5,450.65","5,517.55","5,432.75","127.40M","1.07%"
"May 19, 2011","5,428.10","5,448.15","5,452.60","5,411.25","94.18M","0.14%"
"May 18, 2011","5,420.60","5,448.20","5,460.50","5,401.25","107.36M","-0.34%"
"May 17, 2011","5,438.95","5,496.10","5,523.85","5,421.05","109.20M","-1.09%"
"May 16, 2011","5,499.00","5,541.70","5,541.80","5,487.65","94.22M","-0.83%"
"May 13, 2011","5,544.75","5,492.35","5,605.00","5,472.15","119.42M","1.07%"
"May 12, 2011","5,486.15","5,537.80","5,572.50","5,476.30","91.63M","-1.42%"
"May 11, 2011","5,565.05","5,547.20","5,574.70","5,525.00","82.51M","0.43%"
"May 10, 2011","5,541.25","5,555.55","5,592.90","5,514.55","88.82M","-0.18%"
"May 09, 2011","5,551.10","5,575.20","5,586.05","5,502.40","75.44M","-0.01%"
"May 06, 2011","5,551.45","5,477.65","5,564.40","5,472.45","122.68M","1.68%"
"May 05, 2011","5,459.85","5,531.60","5,560.30","5,443.65","126.43M","-1.40%"
"May 04, 2011","5,537.15","5,567.70","5,578.80","5,503.00","119.08M","-0.50%"
"May 03, 2011","5,565.25","5,689.70","5,710.80","5,554.85","125.52M","-2.39%"
"May 02, 2011","5,701.30","5,766.90","5,775.25","5,687.70","86.51M","-0.84%"
"Apr 29, 2011","5,749.50","5,782.50","5,804.30","5,706.05","184.75M","-0.62%"
"Apr 28, 2011","5,785.45","5,851.35","5,856.40","5,776.95","159.34M","-0.83%"
"Apr 27, 2011","5,833.90","5,884.20","5,892.35","5,819.95","108.74M","-0.59%"
"Apr 26, 2011","5,868.40","5,876.85","5,893.20","5,791.55","117.17M","-0.10%"
"Apr 25, 2011","5,874.50","5,859.60","5,906.60","5,857.00","94.38M","-0.17%"
