Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,74.687500,75.389099,74.610901,74.985199,5.996599,32066112
2003-01-02,75.531197,75.600800,73.593002,73.788300,5.900882,42260032
2003-01-03,74.843803,75.375000,74.218803,75.004700,5.998160,60483072
2003-01-06,75.515602,75.760902,74.484398,75.035896,6.000654,51750400
2003-01-07,75.678101,76.120300,74.009399,74.281998,5.940365,57016320
2003-01-08,74.718803,75.296898,74.385201,74.822701,5.983606,41112960
2003-01-09,75.000000,75.218803,74.625000,74.974998,5.995785,31291392
2003-01-10,75.156197,75.156197,68.767998,69.504700,5.558321,123995904
2003-01-13,69.046898,69.046898,66.664101,67.135902,5.368887,77507200
2003-01-14,66.953102,69.875000,66.908600,69.496101,5.557632,76166208
2003-01-15,70.437500,72.334396,70.020302,72.060898,5.762742,93352256
2003-01-16,71.531197,72.671898,70.938301,72.029701,5.760248,41649024
2003-01-17,71.531197,72.965599,71.343803,72.190598,5.773112,56276544
2003-01-20,72.026604,72.026604,70.578102,70.767998,5.659347,25981632
2003-01-21,70.921898,71.046898,69.726601,69.891403,5.589246,29442688
2003-01-22,70.312500,71.078102,69.718803,70.279701,5.620299,32516288
2003-01-23,69.843803,70.125000,68.906197,69.185204,5.532771,31185280
2003-01-24,70.548401,70.548401,68.221100,68.504700,5.478349,62248576
2003-01-27,67.729698,67.890602,66.593803,67.114799,5.367199,39281216
2003-01-28,67.185898,67.964104,66.640602,67.310898,5.382882,45866368
2003-01-29,67.812500,67.812500,65.312500,65.671097,5.251747,50043776
2003-01-30,66.015602,67.328102,65.333603,66.551598,5.322161,60421760
2003-01-31,65.814796,67.656197,65.812500,67.190598,5.373260,31424896
2003-02-03,65.941399,69.140602,65.941399,68.910202,5.510779,36261888
2003-02-04,69.366402,69.500000,68.064796,68.867203,5.507340,32406528
2003-02-05,68.435898,69.140602,67.468803,68.802299,5.502151,33350848
2003-02-06,68.734398,71.010902,68.457001,70.592201,5.645290,36238144
2003-02-07,70.312500,70.750000,69.765602,70.117996,5.607368,31858560
2003-02-10,69.687500,69.995300,67.003098,67.271103,5.379701,43655168
2003-02-11,67.781197,68.203102,66.049202,66.302299,5.302224,54007296
2003-02-12,66.406197,66.641403,64.860199,65.221100,5.215760,56339200
2003-02-13,null,null,null,null,null,null
2003-02-14,65.312500,66.281197,64.376602,64.858597,5.186770,54123776
2003-02-17,66.583603,67.070297,65.957001,66.568001,5.323473,51686720
2003-02-18,67.031197,67.147697,65.812500,66.304703,5.302415,43271296
2003-02-19,66.796898,67.718803,65.781197,66.214104,5.295170,48530816
2003-02-20,65.937500,66.631203,65.157799,66.429703,5.312412,38198592
2003-02-21,66.312500,66.809402,65.720299,66.014099,5.279177,35078080
2003-02-24,66.425797,66.734398,65.643799,65.858597,5.266740,28459904
2003-02-25,65.236702,65.278099,64.296898,64.439102,5.153222,35228864
2003-02-26,64.765602,64.984398,63.625000,63.835201,5.104928,36492416
2003-02-27,63.803101,65.062500,63.599201,64.146103,5.129790,44340608
2003-02-28,68.203102,68.203102,64.219498,66.959396,5.354772,66299904
2003-03-03,67.283600,67.500000,65.710899,65.982002,5.276609,44389248
2003-03-04,65.460197,65.562500,64.640602,64.889801,5.189266,30929984
2003-03-05,64.220299,65.528099,63.940601,65.296898,5.221821,40163584
2003-03-06,65.296898,65.296898,63.829700,64.028099,5.120357,37748800
2003-03-07,63.359402,63.484402,62.378899,62.845299,5.025765,38211200
2003-03-10,56.015598,63.635899,56.015598,63.094501,5.045696,46785024
2003-03-11,62.781200,64.760902,62.578098,64.481201,5.156590,45810944
2003-03-12,64.243797,64.811699,62.671902,62.892200,5.029518,45766912
2003-03-13,63.149200,64.187500,62.706200,63.520302,5.079745,43299264
2003-03-14,null,null,null,null,null,null
2003-03-17,63.468800,63.656200,61.817200,63.051601,5.042264,45345088
2003-03-18,null,null,null,null,null,null
2003-03-19,63.296902,65.734398,63.250000,65.440598,5.233313,61463040
2003-03-20,65.078102,68.750000,65.078102,68.139099,5.449113,71270784
2003-03-21,68.234398,69.531197,67.614799,68.943703,5.513458,55244672
2003-03-24,69.349998,69.640602,68.062500,68.397697,5.469794,55051712
2003-03-25,67.578102,67.578102,66.176598,66.621101,5.327718,53456768
2003-03-26,67.343803,67.620300,66.281197,66.559402,5.322784,36913088
2003-03-27,66.328102,67.310898,65.892998,67.027298,5.360202,41770816
2003-03-28,66.562500,67.187500,66.109398,66.736702,5.336962,34597248
2003-03-31,65.642998,65.937500,62.671902,63.325802,5.064192,46685696
