Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,46.982800,47.092098,46.404900,46.514198,26.185673,21675360
2003-01-02,46.678200,46.678200,45.702000,45.842602,25.807592,18354899
2003-01-03,46.092499,46.131500,44.842899,44.975700,25.319559,33257296
2003-01-06,44.928902,45.053799,44.382198,44.483700,25.042583,22208822
2003-01-07,44.679001,44.921101,44.405602,44.522800,25.064594,17353112
2003-01-08,44.569599,45.436501,44.538399,45.131901,25.407494,16436001
2003-01-09,45.374001,46.529800,45.334999,46.287701,26.058163,36529950
2003-01-10,46.670399,46.701599,45.608299,46.397099,26.119753,28023271
2003-01-13,46.389301,46.436100,45.998798,46.115898,25.961449,16900460
2003-01-14,45.748901,46.076900,45.530201,45.998798,25.895521,18387001
2003-01-15,45.608299,45.842602,44.889801,45.420898,25.570190,25394040
2003-01-16,45.420898,45.756699,45.038200,45.522400,25.627331,15751591
2003-01-17,45.686401,45.881599,45.389599,45.662998,25.706478,12093637
2003-01-20,45.694199,45.912899,45.100700,45.272499,25.486643,9480149
2003-01-21,45.295898,45.764500,44.983501,45.623901,25.684473,11925217
2003-01-22,45.686401,46.467400,45.499001,46.240898,26.031815,24810991
2003-01-23,46.389301,46.857800,45.545799,45.717602,25.737223,21023255
2003-01-24,45.827000,45.827000,43.929199,44.147900,24.853535,26118478
2003-01-27,44.085400,44.499298,42.234501,42.695301,24.035784,31245827
2003-01-28,42.226700,43.687099,42.062698,43.523102,24.501802,33673628
2003-01-29,48.419800,48.419800,42.382900,42.664101,24.018219,19865788
2003-01-30,42.664101,43.093601,41.648800,41.922100,23.600500,33205949
2003-01-31,41.703499,43.655899,41.125599,42.960800,24.185246,78746347
2003-02-03,44.046398,44.124500,43.195099,43.944801,24.739204,26124003
2003-02-04,44.389999,44.725800,43.772999,43.952599,24.743593,28673679
2003-02-05,43.687099,44.358700,43.366901,44.132301,24.844761,21537075
2003-02-06,44.202599,44.647701,44.062000,44.522800,25.064594,18987944
2003-02-07,44.592999,44.796101,43.327900,43.851101,24.686453,25254641
2003-02-10,43.843300,44.186901,43.577801,43.991699,24.765606,18687930
2003-02-11,44.077599,44.335300,43.780800,44.116600,24.835917,15764786
2003-02-12,43.976101,44.186901,43.507500,43.921398,24.726027,16855874
2003-02-13,null,null,null,null,null,null
2003-02-14,43.999500,44.499298,43.765202,44.374401,24.981050,23742773
2003-02-17,44.889801,45.686401,44.850800,45.577099,25.658121,20255813
2003-02-18,45.764500,45.889400,45.108501,45.241199,25.469028,14902525
2003-02-19,45.459900,45.741100,45.186600,45.350601,25.530613,11905524
2003-02-20,45.295898,45.436501,44.835098,45.124100,25.403103,9906328
2003-02-21,45.163200,46.217400,45.139702,46.061298,25.930708,28923876
2003-02-24,46.412701,47.443600,46.412701,47.279598,26.616566,60814713
2003-02-25,46.857800,47.099899,46.037800,46.162800,25.987852,31774244
2003-02-26,46.334599,46.529800,45.530201,45.702000,25.728441,25146647
2003-02-27,45.499001,46.389301,45.342800,46.139400,25.974676,27227447
2003-02-28,46.389301,47.295200,45.694199,46.037800,25.917479,47424960
2003-03-03,46.076900,47.045300,45.803501,46.201801,26.009806,42054097
2003-03-04,45.936298,46.350201,45.452099,45.639500,25.693251,17150695
2003-03-05,45.381802,45.436501,44.226002,45.131901,25.407494,36587482
2003-03-06,44.991299,45.077202,44.397800,44.569599,25.090942,15752033
2003-03-07,43.421600,44.186901,43.421600,43.890202,24.708473,21532965
2003-03-10,43.874599,43.983898,42.882702,43.257599,24.352337,25545609
2003-03-11,42.952999,44.889801,42.812401,44.538399,25.073372,26369814
2003-03-12,44.514900,44.647701,43.195099,43.468399,24.471010,16249085
2003-03-13,43.421600,43.874599,43.015499,43.413799,24.440271,22902663
2003-03-14,null,null,null,null,null,null
2003-03-17,43.421600,43.874599,42.992100,43.663700,24.580956,25723287
2003-03-18,null,null,null,null,null,null
2003-03-19,44.046398,44.624298,43.976101,44.522800,25.064594,22564940
2003-03-20,43.734001,46.217400,43.734001,45.819199,25.794416,32649041
2003-03-21,45.545799,46.069099,44.561798,45.842602,25.807592,26210991
2003-03-24,45.748901,45.748901,43.976101,44.179100,24.871111,25468761
2003-03-25,43.577801,44.780499,43.288799,44.624298,25.121731,22456273
2003-03-26,44.749199,45.007000,44.140099,44.436901,25.016239,17871151
2003-03-27,44.186901,44.304100,43.609001,43.812099,24.664501,16018377
2003-03-28,43.874599,44.733601,43.757401,44.585201,25.099726,19536433
2003-03-31,43.905800,44.171299,43.046700,43.437199,24.453444,21489397
2003-04-01,43.109200,44.163502,43.109200,43.897999,24.712856,17048943
2003-04-02,44.132301,44.671101,43.890202,44.093201,24.822742,16004516
2003-04-03,44.202599,44.827301,44.054199,44.592999,25.104116,14270146
2003-04-04,44.694599,45.936298,44.694599,45.834801,25.803194,31466202
2003-04-07,46.115898,47.170200,46.076900,46.881302,26.392338,31560323
2003-04-08,46.545399,46.670399,45.998798,46.256500,26.040598,19372910
2003-04-09,45.787899,46.061298,44.905399,45.038200,25.354744,20364403
2003-04-10,44.967899,45.061600,44.062000,44.554001,25.082163,18641129
2003-04-11,44.733601,45.920700,44.124500,45.741100,25.750450,22132775
2003-04-14,null,null,null,null,null,null
2003-04-15,45.764500,45.795700,42.820301,44.093201,24.822742,37428551
2003-04-16,44.499298,44.569599,43.796501,44.327499,24.954645,19356450
2003-04-17,44.327499,44.327499,43.132599,43.445000,24.457829,19880232
2003-04-18,null,null,null,null,null,null
2003-04-21,43.734001,44.046398,43.265400,43.624599,24.558941,13841080
2003-04-22,43.523102,43.546600,42.757801,43.327900,24.391916,24820582
2003-04-23,43.968300,44.429001,42.132999,42.359501,23.846739,101232538
2003-04-24,42.640598,43.265400,42.437599,42.765598,24.075361,41621555
2003-04-25,42.484402,42.890499,41.703499,41.890900,23.582939,35420751
2003-04-28,41.859699,42.750000,41.352001,42.515701,23.934673,31249489
2003-04-29,42.640598,42.773399,42.289200,42.617199,23.991816,20210510
2003-04-30,42.601601,43.031101,42.336102,42.867100,24.132500,15578670
2003-05-01,null,null,null,null,null,null
2003-05-02,42.890499,42.937401,42.375099,42.710899,24.044561,14844174
2003-05-05,42.952999,43.109200,42.094002,42.257999,23.789597,17687705
2003-05-06,42.172100,42.585999,41.844101,42.156399,23.732401,19731205
2003-05-07,41.609798,41.976799,41.391102,41.477001,23.349930,18819370
2003-05-08,41.391102,41.539501,40.297699,40.539799,22.822319,33537066
2003-05-09,40.165001,41.156799,40.165001,40.774101,22.954227,19635291
2003-05-12,40.922501,41.078701,40.336800,40.735100,22.932266,13557245
2003-05-13,40.906898,41.055302,40.571098,40.883499,23.015808,10900375
2003-05-14,40.883499,41.734699,40.883499,41.625401,23.433470,18135094
2003-05-15,41.648800,41.922100,41.406700,41.758099,23.508177,12713237
2003-05-16,42.015900,42.140800,41.687901,41.961201,23.622515,13959921
2003-05-19,42.023701,42.351700,41.781601,42.031502,23.662092,16415962
2003-05-20,41.313000,42.609402,41.313000,42.500099,23.925892,18898734
2003-05-21,42.593800,42.765598,42.062698,42.453201,23.899492,16509897
2003-05-22,42.265800,42.984299,42.094002,42.890499,24.145670,19236483
2003-05-23,42.328300,42.468800,42.031502,42.211102,26.898972,9772512
2003-05-26,42.172100,43.890202,42.015900,43.648102,27.814699,19390113
2003-05-27,43.593399,44.421200,43.468399,43.804298,27.914234,24868324
2003-05-28,43.890202,45.186600,43.890202,44.983501,28.665680,32799727
2003-05-29,45.217800,46.061298,44.749199,45.858200,29.223082,27723193
2003-05-30,45.920700,47.170200,45.764500,46.639198,29.720774,40287608
2003-06-02,46.701599,46.920300,45.819199,46.006599,29.317648,16863063
2003-06-03,45.670799,46.076900,45.491100,45.631699,29.078749,8467862
2003-06-04,45.694199,47.279598,45.608299,46.959400,29.924822,29367667
2003-06-05,47.638802,49.169498,47.576302,48.810200,31.104239,64337545
2003-06-06,49.200699,49.489700,48.529099,48.966400,31.203775,35635363
2003-06-09,49.895802,49.895802,47.748100,48.044899,30.616554,27639566
2003-06-10,47.826199,49.005501,47.131199,47.412300,30.213425,32271636
2003-06-11,47.334202,48.232300,47.334202,48.068298,30.631464,22472330
2003-06-12,48.208900,48.560299,47.966801,48.107399,30.656385,17007820
2003-06-13,48.380699,49.106998,48.365101,48.880501,31.149036,33003334
2003-06-16,49.224201,49.513100,47.841900,47.990200,30.581699,49432043
2003-06-17,48.380699,50.434700,48.216702,50.153500,31.960257,58617774
2003-06-18,50.411201,50.411201,49.466301,49.669300,31.651703,33771263
2003-06-19,47.037498,50.918800,47.037498,50.747002,32.338463,46031579
2003-06-20,50.294102,52.754101,50.294102,52.394901,33.388584,89910089
2003-06-23,52.238701,52.238701,50.622101,50.801701,32.373318,28413302
2003-06-24,50.801701,51.270302,49.825500,50.036400,31.885632,41757029
2003-06-25,50.294102,51.387402,50.294102,50.739201,32.333500,37288173
2003-06-26,50.918800,51.840401,50.489300,50.786098,32.363380,47372800
2003-06-27,51.020401,51.231201,50.223801,50.723598,32.323544,29745514
2003-06-30,50.762699,51.574902,50.387798,50.747002,32.338463,35966467
2003-07-01,50.926701,51.293701,50.489300,50.887600,32.428055,37926193
2003-07-02,51.207802,52.168400,50.918800,51.309299,32.696789,48519799
2003-07-03,51.504601,52.394901,51.121899,51.660801,32.920784,52723098
2003-07-04,52.020000,52.683800,51.699799,52.004398,33.139736,38020672
2003-07-07,52.168400,52.715099,51.168800,51.348400,32.721703,26214538
2003-07-08,51.403000,51.699799,50.708000,50.957901,32.472858,22613162
2003-07-09,51.543598,51.543598,50.489300,51.020401,32.512688,19632122
2003-07-10,51.371799,52.418301,51.020401,52.183998,33.254192,27276079
2003-07-11,52.168400,52.715099,51.488899,51.653000,32.915813,26502164
2003-07-14,52.012199,53.183701,52.012199,53.066502,33.816563,41906991
2003-07-15,53.261700,53.870899,52.277699,52.738499,33.607544,38458099
2003-07-16,52.597900,54.105202,52.324600,53.691299,34.214714,35716379
2003-07-17,53.886501,54.183300,52.480801,52.918098,33.721992,36910653
2003-07-18,52.863400,54.667500,52.168400,52.988400,33.766792,35802452
2003-07-21,53.292999,53.339802,52.183998,52.433899,33.413441,30019752
2003-07-22,52.457401,52.457401,51.442101,52.176201,33.249222,33640604
2003-07-23,52.480801,52.558899,51.137501,51.512402,32.826210,28528474
2003-07-24,51.715401,54.042702,51.403000,53.386700,34.020611,36056004
2003-07-25,53.886501,54.823700,53.464802,54.605000,34.796967,51722309
2003-07-28,54.753399,55.346901,53.652199,53.917801,34.359051,30986852
2003-07-29,53.581902,54.511299,53.402302,54.300400,34.602867,32485071
2003-07-30,53.730301,55.222000,51.543598,54.448799,34.697433,31543837
2003-07-31,54.823700,56.518398,54.198898,55.901402,35.623100,102813213
2003-08-01,56.182499,56.182499,55.229801,55.456200,35.339390,34137113
2003-08-04,55.214100,55.870201,55.057999,55.432800,35.324482,23633536
2003-08-05,55.542198,56.854198,53.831799,54.347301,34.632744,51850510
2003-08-06,53.667801,55.667099,53.667801,54.761200,34.896511,55687127
2003-08-07,55.159500,55.760799,54.456600,55.534401,35.389221,35891816
2003-08-08,56.213799,56.924500,55.760799,56.744801,36.160557,45933483
2003-08-11,55.995098,57.010399,55.995098,56.432499,35.961540,29881679
2003-08-12,60.727798,60.727798,55.534401,55.729599,35.513622,24649575
2003-08-13,57.775700,57.775700,55.565601,56.377800,35.926685,29013278
2003-08-14,56.541801,57.080700,55.784302,56.010700,35.692749,30750311
2003-08-15,null,null,null,null,null,null
2003-08-18,56.073200,56.924500,55.448399,56.424599,35.956505,35691704
2003-08-19,56.643299,58.017799,56.330898,57.650799,36.737900,37625526
2003-08-20,58.103699,58.525398,57.408699,57.619499,36.717957,22445927
2003-08-21,58.572300,58.572300,57.658600,57.963200,36.936981,27065768
2003-08-22,58.291100,60.095200,58.103699,59.618801,37.992012,53391701
2003-08-25,60.290401,66.335098,57.338402,59.134602,37.683453,60530699
2003-08-26,59.353298,61.227600,59.056499,61.016701,38.882813,51254887
2003-08-27,60.915199,62.016300,60.915199,61.508701,39.196342,33604431
2003-08-28,61.547798,62.086601,60.680901,61.493099,39.186394,32295568
2003-08-29,62.320900,63.219002,61.500900,62.586399,39.883106,42184577
2003-09-01,62.203800,64.726303,62.203800,64.070297,40.828720,38608971
2003-09-02,64.820000,65.850899,64.296799,65.382301,41.664791,61836022
2003-09-03,64.999603,65.429199,63.422100,63.718800,40.604725,35394200
2003-09-04,63.554901,64.507599,63.273701,63.929699,40.739113,40548471
2003-09-05,64.210899,65.804001,64.210899,65.577499,41.789177,37194622
2003-09-08,65.929001,68.326500,65.929001,68.037598,43.356876,50218021
2003-09-09,68.279701,69.099701,67.490898,68.146896,43.426529,56461196
2003-09-10,67.943901,68.014198,67.256599,67.889198,43.262310,32531814
2003-09-11,66.381897,68.599899,66.381897,66.959801,42.670048,44164118
2003-09-12,66.850502,67.725197,64.976196,65.468201,41.719532,38925451
2003-09-15,65.444801,65.569702,62.734798,63.187801,40.266346,55722763
